window_start,window_end,source_file,actual_label,actual_category,predicted_label,confidence,anomaly_score,anomaly_threshold,is_anomaly,pipeline_action,risk_score,risk_level,top_classifier_features,top_anomaly_features,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
60,69,panel_demo_traffic.csv,DDoS,DoS / DDoS,DoS / DDoS,0.9999593496322632,1.0085690021514893,0.8343746826946727,True,Classified and alerted,0.9999593496322632,High,,,71976757,8,6,56,11601,20,0,7.0,5.656854249,4380,0,1933.5,1757.789948,161.95506,0.194507235,5536673.615,16700000.0,60300000,0,71100000,10200000.0,22500000.0,60300000,0,906750,181350.0,398999.65,895048,16,0,0,0,0,172,132,0.111146992,0.083360244,0,4380,777.5333333,1434.571657,2057995.838,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,1028.0,0.0,1028,1028,35500000.0,35000000.0,60300000,10800000
65,74,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.6322391033172607,0.8343746826946727,False,Ignored as normal,0.32618674662773955,Low,,,83447,2,2,0,12,0,0,0.0,0.0,6,6,6.0,0.0,143.8038515,47.93461718,27815.66667,48127.05971,83388,3,83447,83447.0,0.0,83447,83447,3,3.0,0.0,3,3,0,0,0,0,64,40,23.96730859,23.96730859,0,6,2.4,3.286335345,10.8,0,0,0,0,1,0,0,0,1,3.0,0.0,6.0,0,0,0,0,0,0,2,0,2,12,349,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0
70,79,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.35914695262908936,0.8343746826946727,False,Ignored as normal,0.18066804481560475,Low,,,17604,2,1,44,6,38,6,22.0,22.627417,6,6,6.0,0.0,2840.263576,170.4158146,8802.0,12412.55244,17579,25,17604,17604.0,0.0,17604,17604,0,0.0,0.0,0,0,1,0,0,0,40,20,113.6105431,56.80527153,6,38,22.0,18.47520861,341.3333333,0,1,0,0,1,0,0,0,0,29.33333333,22.0,6.0,0,0,0,0,0,0,2,44,1,6,351,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0
75,84,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.33958107233047485,0.8343746826946727,False,Ignored as normal,0.17024225449650815,Low,,,4,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,250000.0,250000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,368,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0
80,89,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.11020762473344803,0.8343746826946727,False,Ignored as normal,0.04801931165328571,Low,,,15,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,800000.0,133333.3333,15.0,0.0,15,15,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,66666.66667,66666.66667,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,335,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0
85,94,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.0561327263712883,0.8343746826946727,False,Ignored as normal,0.019205195281007836,Low,,,23,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,521739.1304,86956.52174,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,43478.26087,43478.26087,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,346,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0
90,99,panel_demo_traffic.csv,PortScan,Port Scanning,Normal,0.0,0.08555537462234497,0.8343746826946727,False,Ignored as normal,0.034883220323396184,Low,,,50,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,160000.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,20000.0,20000.0,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
95,104,panel_demo_traffic.csv,PortScan,Port Scanning,Port Scanning,0.9994515776634216,0.8851237297058105,0.8343746826946727,True,Classified and alerted,0.9994515776634216,High,,,64,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,125000.0,31250.0,64.0,0.0,64,64,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,15625.0,15625.0,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
100,109,panel_demo_traffic.csv,PortScan,Port Scanning,Port Scanning,0.9995291233062744,0.8925265669822693,0.8343746826946727,True,Classified and alerted,0.9995291233062744,High,,,43,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,186046.5116,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,23255.81395,23255.81395,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
105,114,panel_demo_traffic.csv,PortScan,Port Scanning,Normal,0.0,0.01518250536173582,0.8343746826946727,False,Ignored as normal,0.0,Low,,,60,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,133333.3333,33333.33333,60.0,0.0,60,60,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,16666.66667,16666.66667,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
110,119,panel_demo_traffic.csv,PortScan,Port Scanning,Normal,0.0,0.015424590557813644,0.8343746826946727,False,Ignored as normal,0.0,Low,,,51,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,156862.7451,39215.68627,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,19607.84314,19607.84314,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
115,124,panel_demo_traffic.csv,PortScan,Port Scanning,Normal,0.0,0.01833338662981987,0.8343746826946727,False,Ignored as normal,0.0,Low,,,36,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,222222.2222,55555.55556,36.0,0.0,36,36,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,27777.77778,27777.77778,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
120,129,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.29145705699920654,0.8343746826946727,False,Ignored as normal,0.14459909990804215,Low,,,109815835,5,3,247,1780,229,0,49.4,100.4330623,1774,0,593.3333333,1022.491728,18.45817591,0.072849239,15700000.0,41500000.0,110000000,6,110000000,27500000.0,54900000.0,110000000,108,24101,12050.5,16095.87166,23432,669,0,0,0,0,112,72,0.045530774,0.027318465,0,1774,225.2222222,585.5697605,342891.9444,0,0,0,1,0,0,0,0,0,253.375,49.4,593.3333333,0,0,0,0,0,0,5,247,3,1780,8192,946,4,20,0.0,0.0,0,0,0.0,0.0,0,0
125,134,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.3102681338787079,0.8343746826946727,False,Ignored as normal,0.1546226889430816,Low,,,30978,4,2,184,298,46,46,46.0,0.0,149,149,149.0,0.0,15559.42927,193.6858416,6195.6,8851.151919,19148,3,19200,6400.0,11040.11377,19148,4,3,3.0,0.0,3,3,0,0,0,0,116,40,129.1238944,64.56194719,46,149,75.42857143,50.25885376,2525.952381,0,0,0,0,0,0,0,0,0,88.0,46.0,149.0,0,0,0,0,0,0,4,184,2,298,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
130,139,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.2549837827682495,0.8343746826946727,False,Ignored as normal,0.1251641088123543,Low,,,115830094,25,21,2219,7935,613,0,88.76,202.5854305,1418,0,377.8571429,561.3645238,87.66288319,0.397133408,2574002.089,4342198.113,10000000,3,116000000,4826253.917,5006314.391,10100000,3,111000000,5539000.9,5115036.047,10100000,3,0,0,0,0,808,680,0.215833374,0.181300034,0,1418,216.0425532,424.4982182,180198.7373,0,0,0,1,0,0,0,0,0,220.7391304,88.76,377.8571429,0,0,0,0,0,0,25,2219,21,7935,29200,377,6,32,57282.41667,71204.57355,283387,36534,9595225.167,1443100.987,10000000,5012823
135,144,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.24391412734985352,0.8343746826946727,False,Ignored as normal,0.11926558012182456,Low,,,265,2,2,82,152,41,41,41.0,0.0,76,76,76.0,0.0,883018.8679,15094.33962,88.33333333,105.2916584,206,3,3,3.0,0.0,3,3,56,56.0,0.0,56,56,0,0,0,0,64,64,7547.169811,7547.169811,41,76,55.0,19.17028951,367.5,0,0,0,0,0,0,0,0,1,68.75,41.0,76.0,0,0,0,0,0,0,2,82,2,152,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
140,149,panel_demo_traffic.csv,Bot,Botnet Activity,Botnet Activity,0.964482307434082,0.9383496642112732,0.8343746826946727,True,Classified and alerted,0.964482307434082,Medium,,,16,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,750000.0,125000.0,16.0,0.0,16,16,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,62500.0,62500.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0
145,154,panel_demo_traffic.csv,Bot,Botnet Activity,Botnet Activity,0.9841343760490417,9.369163513183594,0.8343746826946727,True,Classified and alerted,1.0,High,,,120904,33,68,146714,524,18980,0,4445.878788,3872.396446,128,0,7.705882353,14.82339702,1217809.171,835.3735195,1209.04,9995.237565,99973,0,120904,3778.25,19749.72262,111999,3,119604,1785.134328,12201.11908,99973,0,0,0,0,0,672,1372,272.9438232,562.4296963,0,18980,1443.509804,3017.451648,9105014.45,0,0,0,1,0,0,0,0,2,1457.80198,4445.878788,7.705882353,0,0,0,0,0,0,33,146714,68,524,8192,1278,32,20,0.0,0.0,0,0,0.0,0.0,0,0
150,159,panel_demo_traffic.csv,Bot,Botnet Activity,Botnet Activity,0.9521336555480957,8.87873363494873,0.8343746826946727,True,Classified and alerted,1.0,High,,,65,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,184615.3846,30769.23077,65.0,0.0,65,65,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,15384.61538,15384.61538,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0
155,164,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.2505547106266022,0.8343746826946727,False,Ignored as normal,0.12280405259447806,Low,,,23928,1,1,40,125,40,40,40.0,0.0,125,125,125.0,0.0,6895.687061,83.58408559,23928.0,0.0,23928,23928,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41.7920428,41.7920428,40,125,68.33333333,49.07477288,2408.333333,0,0,0,0,0,0,0,0,1,102.5,40.0,125.0,0,0,0,0,0,0,1,40,1,125,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
160,169,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.06533749401569366,0.8343746826946727,False,Ignored as normal,0.02411000794120645,Low,,,51327,4,2,112,612,28,28,28.0,0.0,306,306,306.0,0.0,14105.63641,116.8975393,10265.4,14879.14911,32636,3,32686,10895.33333,18827.98248,32636,3,4,4.0,0.0,4,4,0,0,0,0,80,40,77.93169287,38.96584644,28,306,107.4285714,135.6501101,18400.95238,0,0,0,0,0,0,0,0,0,125.3333333,28.0,306.0,0,0,0,0,0,0,4,112,2,612,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
165,174,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.04853542894124985,0.8343746826946727,False,Ignored as normal,0.015156932244102658,Low,,,24355,1,1,45,61,45,45,45.0,0.0,61,61,61.0,0.0,4352.289058,82.11866147,24355.0,0.0,24355,24355,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41.05933073,41.05933073,45,61,50.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,75.5,45.0,61.0,0,0,0,0,0,0,1,45,1,61,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
170,179,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.04557054489850998,0.8343746826946727,False,Ignored as normal,0.013577076961423136,Low,,,340,2,2,76,652,38,38,38.0,0.0,326,326,326.0,0.0,2141176.471,11764.70588,113.3333333,153.9361339,289,2,49,49.0,0.0,49,49,2,2.0,0.0,2,2,0,0,0,0,40,40,5882.352941,5882.352941,38,326,153.2,157.7440966,24883.2,0,0,0,0,0,0,0,0,1,191.5,38.0,326.0,0,0,0,0,0,0,2,76,2,652,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
175,184,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.06172504276037216,0.8343746826946727,False,Ignored as normal,0.0221850927954971,Low,,,18334509,2,2,103,378,60,43,51.5,12.02081528,241,137,189.0,73.53910524,26.23468128,0.218167828,6111503.0,10500000.0,18200000,24969,18300000,18300000.0,0.0,18300000,18300000,18300000,18300000.0,0.0,18300000,18300000,0,0,0,0,40,72,0.109083914,0.109083914,43,241,104.8,85.48801086,7308.2,0,0,0,0,0,0,0,0,1,131.0,51.5,189.0,0,0,0,0,0,0,2,103,2,378,-1,-1,1,20,73817.0,0.0,73817,73817,18200000.0,0.0,18200000,18200000
